UNITID,LATITUDE,LONGITUDE,ADM_RATE_ALL,PPTUG_EF,SAT_AVG_ALL,COSTT4_A,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,MEDIAN_HH_INC,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,year
100654,34.783368,-86.568502,0.71600609756097,0.1116,954.0,21924.0,2,10024.0,18634.0,49720.22,35000.0,38100.0,0.0184,0.8978,0.0114,0.0014,0.0027,0.001,0.0108,0.0086,0.0479,2022
100663,33.505697,-86.799345,0.88535192339996,0.2197,1266.0,26248.0,2,8568.0,20400.0,55735.22,43800.0,56500.0,0.5297,0.2458,0.0669,0.0767,0.0021,0.0004,0.0483,0.0233,0.0068,2022
100706,34.724557,-86.640449,0.73672375021622,0.1551,1300.0,24869.0,2,11488.0,23884.0,58688.62,52000.0,51900.0,0.7196,0.0871,0.061,0.0357,0.008,0.0012,0.0446,0.0166,0.0261,2022
100724,32.364317,-86.295677,0.97991295614328,0.1259,955.0,21938.0,2,11068.0,19396.0,46065.2,30400.0,31900.0,0.0152,0.9259,0.0129,0.002,0.0017,0.0014,0.0132,0.0166,0.0112,2022
100751,33.211875,-87.545978,0.78904316258456,0.0863,1244.0,31050.0,2,11620.0,31090.0,57928.41,52400.0,47500.0,0.7676,0.105,0.0549,0.0137,0.0037,0.0008,0.0356,0.0127,0.006,2022
100830,32.36736,-86.177544,0.96798825256975,0.2218,1069.0,20621.0,2,8860.0,18820.0,50723.81,36600.0,40200.0,0.4129,0.4487,0.0131,0.0283,0.004,0.0011,0.0371,0.0484,0.0064,2022
101189,32.384181,-86.21641,0.64600781686208,0.2323,1042.0,36457.0,1,23490.0,23490.0,52330.99,36600.0,42500.0,0.4599,0.4133,0.0318,0.0118,0.0018,0.0029,0.0265,0.0313,0.0206,2022
101435,32.351034,-86.284366,0.69301164725457,0.0549,1111.0,39177.0,1,27900.0,27900.0,54037.99,42600.0,47500.0,0.6599,0.2017,0.0632,0.0072,0.0048,0.0,0.043,0.0,0.0203,2022
101480,33.822938,-85.765321,0.76342650004769,0.126,1030.0,22023.0,2,11120.0,20840.0,48389.27,37600.0,39100.0,0.626,0.2541,0.0037,0.0064,0.0054,0.0014,0.0,0.0159,0.087,2022
101587,32.588132,-88.186329,0.74333983105912,0.2407,1017.0,22525.0,2,10990.0,20090.0,40238.44,40700.0,39600.0,0.4472,0.3866,0.0225,0.0017,0.0117,0.0004,0.0173,0.0286,0.084,2022
101709,33.10625,-86.865099,0.90086526576019,0.1026,1131.0,26709.0,2,13710.0,26730.0,59047.15,35500.0,37800.0,0.668,0.1694,0.06,0.0073,0.0032,0.0014,0.0398,0.033,0.0179,2022
102049,33.464128,-86.791799,0.83874792506521,0.0153,1236.0,51314.0,1,35360.0,35360.0,69602.13,58400.0,65600.0,0.8513,0.0602,0.0402,0.0111,0.0011,0.0006,0.0233,0.0108,0.0014,2022
102094,30.696033,-88.178711,0.7077938563087,0.1439,1132.0,22139.0,2,8756.0,17012.0,51919.71,43200.0,51900.0,0.6013,0.2233,0.0467,0.0393,0.0066,0.0013,0.0431,0.0111,0.0273,2022
102234,30.694751,-88.138199,0.71523178807947,0.0415,1019.0,56502.0,1,21100.0,21100.0,59048.32,54400.0,37800.0,0.6289,0.1405,0.0849,0.0162,0.0061,0.001,0.0192,0.0576,0.0455,2022
102368,31.799583,-85.95802,0.95270469997044,0.322,1082.0,21376.0,2,9312.0,18624.0,49132.68,39300.0,42000.0,0.5297,0.3269,0.0453,0.0063,0.0029,0.0012,0.0407,0.0178,0.0292,2022
102377,32.4309,-85.708492,0.34197976038152,0.0531,1080.0,41991.0,1,22614.0,22614.0,54155.29,42300.0,41200.0,0.0078,0.9093,0.0041,0.006,0.0041,0.0009,0.0302,0.0,0.0375,2022
